CODIGO_VENDA;CODIGO_CLIENTE;CODIGO_FORMA_PAGAMENTO;CODIGO_LOJA_VENDEDOR;DATA_VENDA;VALOR_FINAL;TIPO_PAGAMENTO
172;587;2;10;2018-06-15 14:44:44;2685.68;A VISTA
173;298;4;1;2018-06-15 14:44:44;1236.45;A VISTA
174;984;2;13;2020-01-09 15:15:32;782.02;A VISTA
175;528;4;6;2023-12-06 15:08:02;1326.63;PARCELADO
176;1391;4;11;2022-08-20 10:37:45;1397.78;PARCELADO
177;43;1;6;2017-03-30 15:46:19;1068.16;PARCELADO
178;1063;3;2;2020-11-18 09:14:06;1622.48;A VISTA
179;1372;1;9;2022-05-28 11:11:24;621.43;A VISTA
180;1179;4;10;2022-07-06 15:33:16;227.45;A VISTA
181;133;3;2;2018-05-18 16:52:56;1067.57;A VISTA
182;671;3;5;2020-05-28 17:53:57;1250.92;A VISTA
183;1219;1;13;2018-03-23 17:00:21;445.79;PARCELADO
184;505;4;9;2022-12-06 13:03:12;1138.6;A VISTA
185;130;2;4;2023-05-08 11:26:51;58.51;A VISTA
186;1046;1;8;2018-04-28 15:42:30;155.49;PARCELADO
187;1201;2;11;2020-07-21 09:04:56;1637.17;PARCELADO
188;1225;1;1;2020-07-21 09:04:56;674.82;PARCELADO
189;291;1;0;2020-11-14 20:43:06;437.71;A VISTA
190;1334;4;9;2022-10-11 14:52:27;1693.55;A VISTA
191;97;2;12;2022-05-24 09:00:10;1631.08;A VISTA
192;118;1;15;2023-03-19 13:52:34;659.95;A VISTA
193;767;3;4;2020-12-31 17:50:28;3180.24;A VISTA
194;972;1;2;2020-01-16 10:11:25;172.4;A VISTA
195;963;3;11;2021-06-25 12:12:44;79.68;A VISTA
196;1017;4;16;2019-01-26 12:20:18;854.89;A VISTA
197;155;2;6;2023-03-16 13:42:49;1029.04;PARCELADO
198;831;3;4;2022-10-13 14:26:55;946.51;A VISTA
199;647;1;3;2017-08-28 15:02:01;730.87;A VISTA
200;857;2;9;2022-11-02 12:57:42;250.72;PARCELADO
201;504;2;4;2019-12-03 12:27:48;1006.77;PARCELADO
202;683;3;15;2019-06-12 09:20:42;823.98;A VISTA
203;123;3;1;2019-06-12 09:20:42;319.3;A VISTA
204;944;3;1;2019-06-12 09:20:42;1026.74;A VISTA
205;189;4;13;2019-07-13 09:52:09;10.14;A VISTA
206;915;1;4;2017-01-11 14:29:24;346.98;A VISTA
207;410;3;15;2022-08-08 12:34:33;1611.63;PARCELADO
208;686;1;10;2023-02-18 14:33:13;28.15;PARCELADO
209;69;1;11;2021-09-13 10:34:24;1090.39;PARCELADO
210;1034;4;5;2023-12-17 12:17:24;2222.2;PARCELADO
211;780;2;12;2022-12-12 11:11:25;197.7;A VISTA
212;331;3;0;2022-11-18 06:07:32;1074.01;A VISTA
213;214;1;3;2017-10-23 17:07:24;482.44;A VISTA
214;442;3;11;2022-08-07 11:02:03;360.5;A VISTA
215;910;1;9;2023-07-02 12:44:03;1420.85;A VISTA
216;174;3;2;2021-09-09 13:00:11;87.48;A VISTA
217;1333;4;6;2022-06-07 14:29:41;27.56;A VISTA
218;989;3;3;2020-05-20 10:26:13;687.27;A VISTA
219;118;2;14;2019-09-09 13:31:02;2751.52;A VISTA
220;461;4;10;2018-03-28 16:26:42;1539.7;A VISTA
221;753;2;16;2020-08-01 14:23:01;830.49;A VISTA
222;1027;3;9;2019-01-06 10:10:08;1068.92;A VISTA
223;593;3;16;2023-09-11 10:25:53;715.13;PARCELADO
224;416;2;16;2018-08-31 17:57:08;571.16;A VISTA
225;102;1;1;2018-08-31 17:57:08;2161.98;PARCELADO
226;80;3;7;2020-12-19 11:18:01;1343.64;PARCELADO
227;408;3;11;2020-05-12 09:38:02;133.92;A VISTA
228;528;2;11;2021-01-28 16:38:50;1422.43;A VISTA
229;508;2;12;2020-09-06 12:46:42;954.9;A VISTA
230;676;4;6;2017-11-01 12:55:39;1539.8;A VISTA
231;273;3;13;2020-08-04 14:45:06;836.31;PARCELADO
232;1310;1;8;2022-05-08 11:04:14;13.77;A VISTA
233;517;2;14;2018-08-01 11:36:27;380.67;A VISTA
234;345;2;10;2017-02-09 17:21:18;1025.08;A VISTA
235;160;2;11;2021-11-26 16:06:51;1762.73;A VISTA
236;250;4;9;2022-05-09 16:41:41;36.32;PARCELADO
237;616;4;9;2017-04-21 12:23:41;1695.46;PARCELADO
238;776;4;8;2023-08-20 15:27:09;49.5;A VISTA
239;1296;2;4;2018-01-24 14:20:43;637.91;A VISTA
240;21;4;15;2017-04-02 12:58:49;1901.92;A VISTA
241;948;3;14;2019-08-26 16:14:37;31.44;A VISTA
242;1220;2;7;2020-11-17 17:49:22;4216.56;A VISTA
243;3;1;16;2022-05-03 15:55:01;2007.95;A VISTA
244;1193;4;15;2018-11-08 13:33:33;303.54;A VISTA
245;392;2;13;2017-05-20 14:30:06;1625.84;A VISTA
246;142;3;3;2020-05-07 10:26:37;1117.27;PARCELADO
247;1101;2;6;2019-07-17 09:46:35;325.76;A VISTA
248;828;4;7;2017-11-14 11:58:39;733.21;PARCELADO
249;820;1;12;2018-11-27 09:15:58;1763.11;A VISTA
250;637;2;3;2020-07-03 11:43:37;1571.31;A VISTA
251;302;4;4;2018-03-01 17:46:55;1922.45;A VISTA
252;1003;4;14;2021-09-02 12:45:06;257.8;A VISTA
253;19;4;7;2022-04-26 11:32:25;829.66;A VISTA
254;168;3;15;2019-02-14 17:13:26;541.41;A VISTA
255;438;2;12;2019-06-15 09:51:07;527.05;A VISTA
256;149;3;16;2019-01-01 13:01:00;1288.24;A VISTA
257;412;4;11;2021-02-06 09:12:00;1074.38;A VISTA
258;529;1;15;2023-12-16 15:11:09;800.03;PARCELADO
259;1397;2;13;2018-06-01 11:21:52;1171.86;A VISTA
260;934;2;8;2019-01-01 12:21:27;447.26;A VISTA
261;869;4;7;2021-08-04 14:27:50;2175.25;A VISTA
262;1008;3;14;2022-04-15 14:04:43;29.52;A VISTA
263;1219;3;16;2017-01-31 16:24:05;355.67;A VISTA
264;367;3;7;2018-04-26 16:05:54;1051.18;A VISTA
265;1189;1;2;2019-09-01 14:04:35;525.66;A VISTA
266;842;3;16;2023-10-27 10:01:01;208.65;A VISTA
267;468;2;13;2019-11-11 12:38:16;1368.68;A VISTA
268;780;4;13;2023-06-28 15:35:22;1291.28;A VISTA
269;804;3;5;2023-04-30 11:06:14;1180.15;A VISTA
270;464;1;7;2021-02-03 16:44:19;989.78;A VISTA
271;71;1;16;2020-08-10 09:15:31;675.28;A VISTA
272;522;2;10;2019-06-24 15:56:49;271.7;A VISTA
273;1147;4;13;2018-09-27 13:53:28;277.16;A VISTA
274;950;4;7;2022-08-27 14:12:49;1380.99;A VISTA
275;1023;2;14;2020-05-13 10:45:49;120.66;PARCELADO
276;223;3;0;2018-03-14 13:24:53;1106.13;A VISTA
277;628;1;14;2020-01-26 16:56:20;1339.23;A VISTA
278;549;3;14;2022-11-09 13:35:46;28.0;A VISTA
279;67;4;9;2017-05-21 10:13:47;1325.91;A VISTA
280;524;1;3;2018-10-26 15:53:17;751.58;PARCELADO
281;752;1;13;2020-11-21 15:00:15;778.21;A VISTA
282;1212;4;8;2019-02-25 15:06:47;1295.67;A VISTA
283;85;3;0;2019-11-04 08:57:35;1268.92;A VISTA
284;1107;3;9;2022-12-05 14:50:57;590.33;A VISTA
285;452;4;5;2021-06-23 12:25:04;156.77;PARCELADO
286;906;2;4;2019-03-29 12:15:52;5.75;PARCELADO
287;586;4;5;2022-09-20 16:51:39;1703.35;A VISTA
288;321;4;14;2020-01-15 09:19:28;2721.02;A VISTA
289;547;1;5;2020-09-06 12:22:09;715.55;PARCELADO
290;1181;1;11;2020-02-10 11:56:39;1614.7;A VISTA
291;919;2;5;2022-01-07 10:25:18;334.78;A VISTA
292;1129;4;0;2019-07-04 05:09:29;1487.48;PARCELADO
293;26;1;11;2020-11-10 17:35:13;667.72;A VISTA
294;95;1;2;2018-12-05 12:13:00;2501.11;A VISTA
295;683;4;7;2017-08-29 09:57:09;269.53;A VISTA
296;1274;2;3;2018-07-31 14:06:47;73.6;A VISTA
297;607;3;12;2019-03-22 10:25:00;1435.48;PARCELADO
298;171;1;15;2022-01-24 10:08:05;2290.61;A VISTA
299;302;1;11;2018-09-06 13:29:01;977.71;PARCELADO
300;1353;3;15;2018-07-02 11:44:05;914.71;A VISTA
301;632;3;1;2018-07-02 11:44:05;809.3;A VISTA
302;608;2;4;2018-01-29 16:43:18;2269.49;A VISTA
303;662;2;8;2018-12-11 09:43:51;1581.95;A VISTA
304;632;2;7;2023-12-04 10:55:28;199.75;PARCELADO
305;1184;4;12;2020-08-12 10:47:28;374.57;PARCELADO
306;287;1;0;2019-10-23 20:57:35;43.42;A VISTA
307;984;3;9;2017-10-24 11:51:33;1147.48;A VISTA
308;192;1;12;2018-10-15 13:34:56;311.01;A VISTA
309;824;1;2;2018-01-09 16:30:16;2978.62;A VISTA
310;228;2;11;2020-06-21 14:09:50;850.04;PARCELADO
311;745;4;2;2021-09-28 17:31:19;1937.61;A VISTA
312;707;4;12;2019-11-29 15:00:48;35.86;PARCELADO
313;978;3;9;2023-07-18 12:44:24;1047.22;A VISTA
314;931;1;10;2019-12-20 09:45:11;733.23;PARCELADO
315;914;2;7;2021-02-03 09:55:29;1016.86;A VISTA
316;1307;1;14;2021-04-15 13:41:10;783.0;A VISTA
317;1133;2;6;2017-06-11 09:37:20;1116.45;A VISTA
318;1123;3;4;2019-10-29 11:44:11;639.49;A VISTA
319;820;4;12;2020-05-11 10:00:51;344.59;A VISTA
320;1084;2;9;2017-01-17 09:13:55;1985.16;A VISTA
321;458;2;0;2017-07-18 01:58:19;170.66;A VISTA
322;1185;2;15;2020-10-29 15:58:55;341.64;PARCELADO
323;1183;1;3;2020-08-14 12:15:10;1017.71;A VISTA
324;333;1;14;2021-04-01 17:40:21;1462.51;A VISTA
325;241;3;14;2017-08-09 15:55:39;873.15;A VISTA
326;655;4;3;2023-08-11 09:08:27;805.34;PARCELADO
327;803;2;2;2018-05-17 12:01:06;695.89;A VISTA
328;285;2;7;2019-12-06 12:16:02;378.2;A VISTA
329;391;2;16;2019-06-30 12:15:08;2464.06;A VISTA
330;1057;2;1;2019-06-30 12:15:08;50.25;PARCELADO
331;1258;4;15;2019-01-28 11:37:42;675.4;A VISTA
332;659;3;2;2023-11-26 14:11:30;1575.7;A VISTA
333;223;4;4;2018-07-31 11:18:26;1394.52;A VISTA
334;903;3;12;2019-01-22 15:33:19;327.4;A VISTA
335;539;3;11;2018-10-16 15:34:08;1455.14;PARCELADO
336;628;2;15;2018-08-05 11:08:32;1091.99;A VISTA
337;1395;1;12;2017-03-03 16:33:55;1177.4;A VISTA
338;1042;3;3;2023-08-13 11:02:49;715.24;A VISTA
339;1101;3;2;2022-09-03 11:46:17;32.55;A VISTA
340;1374;4;16;2019-02-16 12:17:50;35.7;A VISTA
341;1376;2;11;2017-10-22 09:10:20;2260.82;A VISTA
342;244;1;2;2018-09-17 11:27:29;2252.81;A VISTA
343;278;4;13;2022-02-09 15:57:51;994.32;A VISTA
344;181;2;0;2022-07-27 04:44:07;815.41;A VISTA
345;1336;3;10;2022-02-20 16:20:09;3471.13;A VISTA
346;1084;2;0;2023-04-23 14:16:26;746.64;A VISTA
347;1381;3;12;2019-01-16 12:55:50;743.63;A VISTA
348;608;1;2;2019-11-10 14:48:48;57.12;PARCELADO
349;1085;3;10;2019-06-15 12:47:22;372.61;A VISTA
350;1294;3;7;2022-08-28 11:14:42;856.53;PARCELADO
351;147;3;10;2018-07-05 17:46:48;507.38;PARCELADO
352;329;3;2;2021-04-21 09:05:55;556.49;A VISTA
353;233;3;11;2020-05-26 09:30:52;773.78;A VISTA
354;477;1;16;2019-06-11 10:20:11;1740.28;A VISTA
355;239;3;15;2021-03-14 11:05:42;2413.69;A VISTA
356;315;2;8;2023-01-24 14:56:46;2586.58;A VISTA
357;972;2;14;2022-08-02 17:29:19;966.14;A VISTA
358;1333;1;1;2022-08-02 17:29:19;993.48;A VISTA
359;315;1;15;2023-09-16 11:25:22;145.74;PARCELADO
360;736;3;8;2023-06-12 11:39:58;1193.97;A VISTA
361;337;3;14;2019-01-24 13:04:35;1267.21;PARCELADO
362;773;1;14;2021-07-18 15:27:02;68.91;A VISTA
363;1210;2;12;2023-12-10 11:36:03;1506.88;A VISTA
364;693;4;15;2018-01-05 14:17:27;130.81;A VISTA
365;768;3;9;2018-04-23 17:26:58;528.3;PARCELADO
366;68;4;15;2022-04-03 15:53:02;375.87;A VISTA
367;808;3;5;2018-03-18 13:21:24;1055.2;A VISTA
368;921;4;1;2018-03-18 13:21:24;524.43;A VISTA
369;728;4;0;2021-02-05 03:20:30;1390.22;A VISTA
370;1237;4;15;2017-06-03 11:30:24;638.82;PARCELADO
371;118;1;12;2018-07-17 14:55:52;3136.15;PARCELADO
372;829;3;7;2017-11-23 13:26:01;202.63;PARCELADO
373;374;4;13;2023-11-21 11:56:37;456.87;A VISTA
374;991;4;7;2018-01-29 14:58:53;59.84;A VISTA
375;552;3;11;2019-10-02 16:14:22;1463.52;A VISTA
376;921;1;0;2017-02-20 19:30:54;135.54;PARCELADO
377;1374;2;9;2017-11-12 11:53:01;1150.21;A VISTA
378;1313;2;1;2017-11-12 11:53:01;257.76;A VISTA
379;522;3;0;2018-03-05 09:05:49;1912.39;A VISTA
380;702;2;8;2021-10-09 09:32:09;410.49;A VISTA
381;10;4;2;2020-04-19 17:31:39;1308.31;A VISTA
382;529;4;0;2019-05-16 04:52:42;495.48;A VISTA
383;820;1;9;2019-03-20 09:21:50;920.67;PARCELADO
384;193;4;10;2020-05-30 12:17:18;742.9;A VISTA
385;291;3;14;2017-08-12 17:06:28;434.7;A VISTA
386;966;4;14;2018-09-15 15:56:06;365.64;A VISTA
387;223;1;15;2021-05-01 15:17:53;705.11;A VISTA
388;386;2;3;2018-02-11 11:17:09;193.72;A VISTA
389;1273;2;5;2019-03-07 11:22:54;802.85;PARCELADO
390;443;1;13;2020-08-30 09:21:42;121.03;A VISTA
391;852;1;16;2018-10-16 14:41:18;1095.53;PARCELADO
392;636;2;13;2018-02-28 13:00:42;673.05;PARCELADO
393;799;3;16;2022-08-02 09:14:58;496.4;A VISTA
394;356;1;8;2023-03-27 16:10:30;231.05;PARCELADO
395;826;3;0;2022-03-14 16:39:41;2841.54;PARCELADO
396;384;1;9;2018-11-18 10:05:00;353.97;A VISTA
397;715;3;4;2019-06-23 16:03:07;245.82;A VISTA
398;101;2;10;2023-07-24 15:15:17;1615.06;A VISTA
399;46;2;0;2017-08-22 00:30:21;811.22;A VISTA
400;1350;4;12;2023-03-12 12:16:10;207.14;A VISTA
401;126;4;7;2017-03-03 16:55:35;210.26;A VISTA
402;217;2;10;2019-04-03 16:16:54;941.73;A VISTA
403;1210;3;5;2018-02-19 11:09:52;962.28;A VISTA
404;1142;3;9;2018-04-27 14:50:15;1106.37;PARCELADO
405;587;3;1;2018-04-27 14:50:15;2226.63;A VISTA
406;1290;2;10;2021-10-28 12:20:10;1605.12;A VISTA
407;192;4;10;2018-06-15 13:56:19;421.81;A VISTA
408;66;2;14;2018-05-08 16:28:46;1361.79;PARCELADO
409;1084;2;6;2018-09-22 11:05:56;666.17;A VISTA
410;669;1;7;2019-08-21 14:40:46;1197.95;PARCELADO
411;1002;1;9;2018-10-26 10:25:42;742.62;A VISTA
412;1344;4;0;2020-01-09 17:46:49;1773.8;A VISTA
413;758;4;3;2022-03-08 17:49:52;1975.78;PARCELADO
414;1327;3;4;2023-08-12 12:40:51;2175.12;PARCELADO
415;1366;2;0;2018-06-10 03:27:50;1396.62;A VISTA
416;626;4;11;2017-05-06 12:55:53;671.46;PARCELADO
417;1130;2;10;2017-10-21 16:49:04;1146.81;A VISTA
418;1382;1;9;2022-05-25 10:38:02;2864.96;A VISTA
419;1359;2;9;2023-06-28 17:34:16;2944.73;PARCELADO
420;413;2;1;2023-06-28 17:34:16;219.63;A VISTA
421;1334;2;7;2021-01-31 12:58:41;1068.34;A VISTA
422;539;1;8;2021-09-21 14:44:10;143.37;PARCELADO
423;1139;2;10;2020-03-18 15:16:53;1684.84;A VISTA
424;209;4;13;2020-12-11 12:34:14;935.44;A VISTA
425;990;1;2;2017-08-04 09:14:34;761.26;A VISTA
426;1163;2;7;2024-01-20 14:21:07;2328.34;PARCELADO
427;664;2;16;2022-08-02 11:02:45;724.25;A VISTA
428;1274;2;16;2018-12-03 16:06:55;1166.5;A VISTA
429;75;3;15;2020-12-11 09:21:03;2100.8;A VISTA
430;190;4;15;2021-06-03 14:03:45;1187.29;A VISTA
431;325;2;0;2021-11-18 10:44:08;2378.32;PARCELADO
432;476;2;6;2020-08-10 15:30:36;674.34;PARCELADO
